ダウンロードした時刻：2026/08/05 11:00:18

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2023/1/1,11.3,2.0,7.4
2023/1/2,10.6,3.5,7.1
2023/1/3,10.0,3.4,7.1
2023/1/4,10.6,2.9,6.7
2023/1/5,10.5,3.8,7.0
2023/1/6,9.5,1.7,6.7
2023/1/7,9.2,5.3,7.5
2023/1/8,11.1,2.9,8.2
2023/1/9,13.0,4.2,9.0
2023/1/10,10.1,3.9,7.3
2023/1/11,9.5,2.7,6.6
2023/1/12,11.0,2.3,7.5
2023/1/13,15.7,3.6,9.7
2023/1/14,15.9,9.9,12.1
2023/1/15,13.1,8.6,11.1
2023/1/16,8.8,6.2,7.5
2023/1/17,7.6,4.1,5.7
2023/1/18,10.4,4.8,7.7
2023/1/19,8.2,5.3,6.9
2023/1/20,11.8,4.8,8.1
2023/1/21,8.6,4.2,6.3
2023/1/22,7.6,3.0,5.6
2023/1/23,6.9,4.2,5.6
2023/1/24,12.9,-0.4,5.6
2023/1/25,3.2,-2.3,0.1
2023/1/26,8.4,-2.5,4.3
2023/1/27,6.4,0.9,4.1
2023/1/28,7.8,1.3,4.4
2023/1/29,7.4,1.1,4.3
2023/1/30,11.7,-0.2,5.0
2023/1/31,8.3,2.4,5.3
2023/2/1,13.4,1.7,8.4
2023/2/2,9.3,5.1,6.9
2023/2/3,6.5,4.3,5.4
2023/2/4,12.0,4.5,7.4
2023/2/5,10.1,4.4,7.3
2023/2/6,11.4,4.2,8.5
2023/2/7,14.4,7.4,10.7
2023/2/8,10.7,6.2,9.2
2023/2/9,10.4,3.0,7.0
2023/2/10,5.5,0.7,3.3
2023/2/11,13.2,5.1,9.4
2023/2/12,16.4,6.9,11.5
2023/2/13,11.9,6.5,8.6
2023/2/14,10.3,4.2,6.3
2023/2/15,7.5,2.4,4.2
2023/2/16,7.2,1.4,4.4
2023/2/17,10.1,1.9,6.6
2023/2/18,14.7,3.5,9.0
2023/2/19,20.5,9.3,13.8
2023/2/20,12.3,5.4,9.7
2023/2/21,8.6,3.1,5.2
2023/2/22,9.2,2.0,5.9
2023/2/23,12.4,5.3,8.6
2023/2/24,11.3,6.9,9.3
2023/2/25,12.3,4.8,8.2
2023/2/26,10.4,2.7,6.6
2023/2/27,13.1,4.1,9.3
2023/2/28,18.5,4.5,12.3
2023/3/1,19.0,10.2,14.8
2023/3/2,19.8,6.9,13.2
2023/3/3,11.5,5.5,8.0
2023/3/4,15.0,5.9,10.4
2023/3/5,12.0,7.8,9.8
2023/3/6,13.8,8.2,10.7
2023/3/7,18.2,7.3,12.2
2023/3/8,19.9,8.9,13.9
2023/3/9,20.8,10.1,15.2
2023/3/10,21.9,13.1,17.5
2023/3/11,19.3,10.2,13.9
2023/3/12,18.2,10.8,14.1
2023/3/13,18.3,10.8,14.6
2023/3/14,12.5,6.9,10.0
2023/3/15,17.3,9.0,12.4
2023/3/16,20.4,9.9,15.0
2023/3/17,16.3,10.3,12.8
2023/3/18,10.5,8.1,9.0
2023/3/19,14.3,6.7,10.1
2023/3/20,18.6,6.8,13.2
2023/3/21,17.1,11.6,14.8
2023/3/22,21.1,12.7,16.3
2023/3/23,19.8,13.7,16.2
2023/3/24,23.6,14.2,18.4
2023/3/25,14.3,10.6,11.7
2023/3/26,13.9,10.7,12.1
2023/3/27,15.6,11.0,13.5
2023/3/28,12.8,8.5,10.9
2023/3/29,16.6,9.2,13.1
2023/3/30,18.3,11.6,14.7
2023/3/31,19.4,11.8,15.7
2023/4/1,20.3,11.6,15.7
2023/4/2,16.9,12.4,14.3
2023/4/3,16.0,11.0,13.1
2023/4/4,18.9,10.3,14.2
2023/4/5,20.9,10.8,16.3
2023/4/6,22.0,17.2,19.1
2023/4/7,21.4,17.5,19.0
2023/4/8,20.8,9.6,15.4
2023/4/9,16.4,6.9,12.3
2023/4/10,21.0,8.1,14.9
2023/4/11,23.5,13.9,18.9
2023/4/12,23.7,14.5,19.5
2023/4/13,20.1,12.6,16.0
2023/4/14,21.8,16.1,18.9
2023/4/15,18.6,13.4,14.9
2023/4/16,24.2,13.6,17.6
2023/4/17,19.6,12.1,16.0
2023/4/18,19.6,10.7,14.7
2023/4/19,23.1,12.3,17.4
2023/4/20,24.1,16.9,19.9
2023/4/21,24.3,18.1,21.2
2023/4/22,18.3,13.1,15.2
2023/4/23,18.0,11.3,14.4
2023/4/24,15.4,11.8,13.6
2023/4/25,17.6,10.4,14.6
2023/4/26,20.7,14.1,16.8
2023/4/27,22.4,13.0,17.6
2023/4/28,22.9,15.5,19.3
2023/4/29,23.0,16.9,19.9
2023/4/30,23.5,17.5,20.6
2023/5/1,21.9,14.9,17.8
2023/5/2,22.2,13.0,17.7
2023/5/3,22.4,12.9,18.1
2023/5/4,24.7,15.7,20.1
2023/5/5,25.3,17.8,21.2
2023/5/6,27.8,20.2,23.3
2023/5/7,22.5,13.5,18.3
2023/5/8,15.4,11.1,13.6
2023/5/9,19.2,11.8,15.4
2023/5/10,23.3,13.0,17.8
2023/5/11,21.0,13.9,16.6
2023/5/12,20.9,13.0,17.5
2023/5/13,19.1,16.1,17.8
2023/5/14,21.6,15.0,17.5
2023/5/15,19.5,15.7,17.4
