ダウンロードした時刻：2026/08/05 11:01:57

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2019/1/1,10.6,1.7,6.8
2019/1/2,11.0,2.9,7.3
2019/1/3,11.0,1.0,6.1
2019/1/4,10.6,3.2,6.5
2019/1/5,13.1,2.7,8.3
2019/1/6,7.8,4.0,6.0
2019/1/7,10.9,3.1,7.3
2019/1/8,9.4,1.7,6.5
2019/1/9,8.2,1.9,5.6
2019/1/10,5.9,1.3,3.9
2019/1/11,12.9,-0.2,7.8
2019/1/12,7.0,4.7,6.1
2019/1/13,9.8,6.1,7.6
2019/1/14,9.2,3.6,7.1
2019/1/15,12.1,2.1,7.3
2019/1/16,12.4,4.4,8.3
2019/1/17,11.7,4.8,7.9
2019/1/18,10.3,4.2,6.8
2019/1/19,11.3,3.9,8.0
2019/1/20,12.8,3.3,7.8
2019/1/21,9.7,3.7,7.0
2019/1/22,10.3,1.8,6.3
2019/1/23,11.7,4.1,7.9
2019/1/24,10.3,4.9,7.2
2019/1/25,8.7,4.6,6.4
2019/1/26,9.4,2.6,5.3
2019/1/27,10.0,2.1,5.5
2019/1/28,13.9,1.7,8.1
2019/1/29,10.1,3.3,6.8
2019/1/30,9.7,2.3,6.1
2019/1/31,9.7,2.8,5.8
2019/2/1,8.6,2.3,5.2
2019/2/2,12.5,0.0,7.0
2019/2/3,14.9,3.3,9.6
2019/2/4,19.0,7.5,14.1
2019/2/5,8.2,6.0,7.2
2019/2/6,9.3,5.4,7.2
2019/2/7,18.2,4.0,11.7
2019/2/8,12.3,4.2,6.9
2019/2/9,4.5,0.0,1.7
2019/2/10,7.6,1.5,4.5
2019/2/11,5.3,0.7,3.5
2019/2/12,9.7,1.7,6.8
2019/2/13,7.5,4.4,5.9
2019/2/14,7.9,2.9,5.2
2019/2/15,5.5,0.6,3.4
2019/2/16,11.1,3.9,6.8
2019/2/17,11.1,4.8,7.1
2019/2/18,13.6,4.1,9.0
2019/2/19,13.6,6.9,9.6
2019/2/20,16.3,7.2,10.9
2019/2/21,14.0,8.5,10.8
2019/2/22,12.5,5.9,9.5
2019/2/23,13.6,7.0,9.4
2019/2/24,13.9,5.7,9.9
2019/2/25,15.5,8.6,11.9
2019/2/26,11.8,8.7,10.3
2019/2/27,10.2,6.2,8.4
2019/2/28,9.1,6.3,7.7
2019/3/1,12.1,7.5,9.6
2019/3/2,13.7,8.1,10.3
2019/3/3,10.2,5.6,7.4
2019/3/4,10.1,6.6,8.2
2019/3/5,13.0,6.0,9.7
2019/3/6,14.5,9.5,11.6
2019/3/7,11.1,7.1,9.2
2019/3/8,11.6,4.7,8.0
2019/3/9,17.2,4.6,10.9
2019/3/10,16.0,9.1,12.6
2019/3/11,15.8,10.3,12.7
2019/3/12,15.2,9.6,12.4
2019/3/13,19.0,5.8,12.3
2019/3/14,12.3,4.4,9.2
2019/3/15,14.2,6.0,10.3
2019/3/16,12.4,7.4,9.5
2019/3/17,15.5,5.4,9.6
2019/3/18,14.3,6.6,10.3
2019/3/19,19.1,8.8,13.8
2019/3/20,19.2,11.1,14.8
2019/3/21,21.7,12.9,17.5
2019/3/22,20.9,9.4,16.2
2019/3/23,9.6,5.2,7.1
2019/3/24,13.9,2.8,9.0
2019/3/25,15.6,5.2,11.0
2019/3/26,13.6,10.3,11.8
2019/3/27,19.6,9.1,14.6
2019/3/28,16.7,10.5,13.4
2019/3/29,10.6,7.2,8.1
2019/3/30,11.4,8.0,9.3
2019/3/31,14.4,8.5,11.3
2019/4/1,13.3,5.4,8.8
2019/4/2,12.3,4.5,7.7
2019/4/3,13.1,4.9,9.0
2019/4/4,15.6,5.8,11.5
2019/4/5,21.9,7.6,16.4
2019/4/6,20.8,12.0,15.8
2019/4/7,20.1,11.0,15.4
2019/4/8,14.9,7.7,10.0
2019/4/9,16.1,7.2,11.5
2019/4/10,11.2,4.3,7.1
2019/4/11,15.8,5.2,11.1
2019/4/12,10.8,8.5,9.7
2019/4/13,16.5,7.0,12.3
2019/4/14,18.6,11.4,15.2
2019/4/15,21.2,12.9,15.9
2019/4/16,19.6,11.0,15.3
2019/4/17,19.7,11.9,15.5
2019/4/18,21.9,14.2,17.0
2019/4/19,22.1,14.4,18.2
2019/4/20,17.9,11.0,14.2
2019/4/21,22.1,14.0,17.6
2019/4/22,23.0,15.8,18.4
2019/4/23,23.2,15.8,18.3
2019/4/24,21.7,17.9,19.5
2019/4/25,23.7,17.9,20.0
2019/4/26,19.5,10.6,12.2
2019/4/27,13.1,8.9,10.8
2019/4/28,17.3,6.7,12.7
2019/4/29,19.1,10.9,15.2
2019/4/30,18.2,13.3,15.4
2019/5/1,21.9,14.8,17.7
2019/5/2,21.9,15.2,17.9
2019/5/3,24.7,13.7,18.4
2019/5/4,22.3,15.6,18.4
2019/5/5,25.1,13.6,18.8
2019/5/6,22.9,15.8,19.1
2019/5/7,20.5,12.1,15.8
2019/5/8,21.6,9.8,16.9
2019/5/9,22.9,16.7,19.6
2019/5/10,25.6,15.1,20.1
2019/5/11,26.5,16.2,20.7
2019/5/12,20.0,15.0,17.3
2019/5/13,22.1,13.7,17.4
2019/5/14,20.0,16.0,18.0
2019/5/15,22.9,15.9,18.9
