É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/08/01 13:02:15

,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,
2021/1/1,-8.9,-12.2
2021/1/2,-5.2,-12.6
2021/1/3,-3.5,-11.8
2021/1/4,-4.2,-9.0
2021/1/5,-3.1,-10.0
2021/1/6,-2.8,-11.4
2021/1/7,-3.2,-9.9
2021/1/8,-3.8,-9.1
2021/1/9,-2.9,-8.7
2021/1/10,-3.0,-11.3
2021/1/11,-3.3,-11.4
2021/1/12,0.6,-7.7
2021/1/13,3.3,-4.1
2021/1/14,1.7,-5.2
2021/1/15,-1.8,-7.1
2021/1/16,5.9,-6.1
2021/1/17,-3.8,-7.4
2021/1/18,-2.8,-8.4
2021/1/19,-5.9,-9.0
2021/1/20,-3.9,-9.9
2021/1/21,3.8,-5.1
2021/1/22,2.2,-3.7
2021/1/23,-2.8,-8.8
2021/1/24,-0.2,-10.9
2021/1/25,4.4,-7.6
2021/1/26,1.9,-7.9
2021/1/27,6.2,-2.6
2021/1/28,-1.6,-5.1
2021/1/29,0.6,-4.9
2021/1/30,-0.1,-6.8
2021/1/31,-0.9,-7.3
2021/2/1,3.2,-8.0
2021/2/2,6.5,-8.9
2021/2/3,-8.4,-10.7
2021/2/4,-5.3,-10.8
2021/2/5,-2.3,-8.6
2021/2/6,1.5,-2.5
2021/2/7,1.1,-5.6
2021/2/8,-2.9,-10.6
2021/2/9,-1.6,-6.6
2021/2/10,-1.0,-4.2
2021/2/11,1.3,-3.7
2021/2/12,2.6,-2.1
2021/2/13,6.1,-3.3
2021/2/14,6.4,-2.8
2021/2/15,7.2,0.2
2021/2/16,4.2,-5.3
2021/2/17,-1.2,-6.0
2021/2/18,2.3,-2.6
2021/2/19,3.2,-3.0
2021/2/20,7.5,-2.0
2021/2/21,1.7,-3.9
2021/2/22,3.0,-5.0
2021/2/23,2.1,-3.5
2021/2/24,-1.6,-7.0
2021/2/25,-0.9,-7.0
2021/2/26,0.2,-6.9
2021/2/27,-0.8,-8.0
2021/2/28,4.7,-7.7
2021/3/1,4.1,-1.8
2021/3/2,-0.9,-3.0
2021/3/3,-2.2,-7.4
2021/3/4,3.8,-6.6
2021/3/5,9.8,2.0
2021/3/6,5.0,-6.4
2021/3/7,1.0,-5.9
2021/3/8,2.5,-3.4
2021/3/9,7.8,-5.2
2021/3/10,3.9,-0.1
2021/3/11,7.4,-3.8
2021/3/12,6.6,0.0
2021/3/13,8.9,-3.5
2021/3/14,9.4,2.4
2021/3/15,9.8,0.8
2021/3/16,12.2,0.2
2021/3/17,6.8,1.6
2021/3/18,3.1,0.7
2021/3/19,5.1,-0.3
2021/3/20,5.8,-0.7
2021/3/21,8.1,-0.7
2021/3/22,9.4,2.7
2021/3/23,9.5,0.8
2021/3/24,14.9,6.6
2021/3/25,12.5,6.4
2021/3/26,8.8,3.6
2021/3/27,12.7,2.0
2021/3/28,14.2,3.3
2021/3/29,18.3,8.3
2021/3/30,14.1,7.7
2021/3/31,13.6,4.6
2021/4/1,12.3,3.6
2021/4/2,15.1,1.9
2021/4/3,13.6,4.9
2021/4/4,9.4,3.7
2021/4/5,9.7,2.7
2021/4/6,10.1,1.8
2021/4/7,11.7,2.3
2021/4/8,6.7,0.1
2021/4/9,6.5,-1.2
2021/4/10,11.9,3.1
2021/4/11,14.3,2.0
2021/4/12,19.0,3.8
2021/4/13,13.9,8.1
2021/4/14,9.4,2.2
2021/4/15,11.4,1.9
2021/4/16,14.1,3.9
2021/4/17,10.6,7.6
2021/4/18,9.7,5.2
2021/4/19,15.3,4.4
2021/4/20,18.0,6.5
2021/4/21,11.4,4.9
2021/4/22,10.2,5.8
2021/4/23,15.2,3.3
2021/4/24,19.0,6.4
2021/4/25,8.6,1.6
2021/4/26,8.5,1.0
2021/4/27,16.8,1.4
2021/4/28,16.8,8.0
2021/4/29,18.2,7.8
2021/4/30,11.1,6.9
2021/5/1,9.7,6.1
2021/5/2,9.3,4.3
2021/5/3,9.3,3.2
2021/5/4,12.3,5.5
2021/5/5,14.8,7.7
2021/5/6,23.1,8.8
2021/5/7,23.3,10.7
2021/5/8,21.1,11.7
2021/5/9,17.8,8.9
2021/5/10,13.5,7.4
2021/5/11,10.9,5.7
2021/5/12,17.8,4.7
2021/5/13,16.5,9.2
2021/5/14,20.3,8.6
2021/5/15,23.2,9.0
2021/5/16,14.8,12.8
2021/5/17,19.3,12.4
2021/5/18,23.3,11.7
2021/5/19,21.6,11.6
2021/5/20,24.3,13.7
2021/5/21,18.9,13.5
2021/5/22,20.2,14.2
2021/5/23,19.3,13.4
2021/5/24,15.8,12.7
2021/5/25,19.7,11.6
2021/5/26,22.0,9.9
2021/5/27,16.5,11.6
2021/5/28,15.4,11.1
2021/5/29,16.4,10.9
2021/5/30,16.7,9.0
2021/5/31,14.0,8.2
2021/6/1,18.7,8.8
2021/6/2,23.0,11.0
2021/6/3,26.1,12.7
2021/6/4,19.5,14.0
2021/6/5,25.7,10.7
2021/6/6,26.4,14.6
2021/6/7,22.5,13.6
2021/6/8,23.7,13.8
2021/6/9,23.1,13.4
2021/6/10,29.5,14.1
2021/6/11,30.6,17.4
2021/6/12,24.4,18.5
2021/6/13,28.2,17.1
2021/6/14,21.4,14.9
2021/6/15,20.7,14.2
2021/6/16,26.7,14.8
2021/6/17,25.1,13.8
2021/6/18,22.0,14.6
2021/6/19,19.4,13.6
2021/6/20,21.4,12.9
2021/6/21,21.9,14.3
2021/6/22,26.7,13.4
2021/6/23,26.6,14.0
2021/6/24,21.5,16.5
2021/6/25,24.9,16.9
2021/6/26,28.6,15.6
2021/6/27,28.4,17.1
2021/6/28,23.6,17.2
2021/6/29,25.7,16.4
2021/6/30,27.3,18.1
2021/7/1,23.4,17.4
2021/7/2,24.7,17.8
2021/7/3,26.4,16.4
2021/7/4,26.4,16.4
2021/7/5,21.5,16.7
2021/7/6,23.0,18.8
2021/7/7,21.5,18.2
2021/7/8,25.7,18.0
2021/7/9,25.0,18.3
2021/7/10,24.4,17.4
2021/7/11,26.2,18.5
2021/7/12,27.4,20.0
2021/7/13,29.3,20.3
2021/7/14,29.7,18.1
2021/7/15,29.9,18.3
2021/7/16,32.3,19.1
