ダウンロードした時刻：2026/08/05 11:02:24

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2018/1/1,13.1,1.6,7.1
2018/1/2,11.0,4.3,7.7
2018/1/3,9.0,2.9,5.7
2018/1/4,9.4,2.5,6.2
2018/1/5,6.0,3.0,4.5
2018/1/6,10.3,-0.8,5.6
2018/1/7,11.2,5.4,7.8
2018/1/8,10.9,4.9,7.1
2018/1/9,16.3,5.3,9.4
2018/1/10,11.2,3.6,7.9
2018/1/11,10.4,2.3,6.4
2018/1/12,6.3,-0.4,3.7
2018/1/13,7.1,0.6,4.1
2018/1/14,7.9,1.6,4.9
2018/1/15,12.9,1.3,6.8
2018/1/16,12.7,1.8,8.0
2018/1/17,11.2,5.7,8.4
2018/1/18,13.5,5.8,9.3
2018/1/19,10.3,7.8,9.0
2018/1/20,8.6,5.6,7.2
2018/1/21,10.5,4.5,8.2
2018/1/22,6.6,0.2,2.9
2018/1/23,11.4,1.3,6.2
2018/1/24,8.3,-0.4,3.5
2018/1/25,4.6,-2.0,1.2
2018/1/26,5.2,-2.1,1.8
2018/1/27,7.8,-1.4,3.4
2018/1/28,5.9,0.8,3.3
2018/1/29,9.3,0.1,4.7
2018/1/30,6.4,2.3,4.2
2018/1/31,8.0,0.4,5.1
2018/2/1,6.0,1.8,4.3
2018/2/2,4.7,1.6,3.2
2018/2/3,7.4,3.4,5.6
2018/2/4,10.5,3.8,6.2
2018/2/5,8.8,2.1,5.0
2018/2/6,7.1,0.4,4.2
2018/2/7,8.0,-0.9,4.4
2018/2/8,7.9,1.5,4.5
2018/2/9,9.3,0.3,5.3
2018/2/10,13.0,1.8,7.5
2018/2/11,12.3,4.3,9.0
2018/2/12,8.9,1.9,5.0
2018/2/13,10.4,-0.1,5.5
2018/2/14,11.9,1.6,7.2
2018/2/15,12.8,7.5,10.1
2018/2/16,8.9,4.5,6.5
2018/2/17,10.5,2.1,6.2
2018/2/18,8.5,0.3,4.2
2018/2/19,9.2,2.6,5.9
2018/2/20,11.0,5.2,7.9
2018/2/21,8.6,4.9,6.4
2018/2/22,6.4,1.7,3.2
2018/2/23,7.4,3.1,5.0
2018/2/24,14.8,1.8,8.5
2018/2/25,7.8,4.8,6.1
2018/2/26,8.6,5.1,6.4
2018/2/27,12.7,4.9,8.1
2018/2/28,12.5,4.6,9.1
2018/3/1,22.2,7.5,13.8
2018/3/2,13.1,7.0,10.1
2018/3/3,14.6,5.5,10.1
2018/3/4,19.7,8.5,14.0
2018/3/5,18.7,9.4,16.0
2018/3/6,10.3,5.5,8.2
2018/3/7,7.6,3.7,5.6
2018/3/8,11.8,4.4,6.7
2018/3/9,17.6,7.0,13.2
2018/3/10,10.2,5.4,7.9
2018/3/11,14.5,6.0,9.5
2018/3/12,14.3,6.2,10.2
2018/3/13,17.0,6.7,12.0
2018/3/14,20.4,7.7,14.4
2018/3/15,21.2,10.5,15.8
2018/3/16,18.2,6.5,13.4
2018/3/17,10.4,4.3,7.3
2018/3/18,16.9,7.3,11.8
2018/3/19,18.3,9.9,14.7
2018/3/20,12.2,7.2,9.0
2018/3/21,7.4,2.9,4.8
2018/3/22,14.4,4.9,10.2
2018/3/23,15.1,10.1,12.0
2018/3/24,14.6,9.4,11.6
2018/3/25,18.1,9.2,13.1
2018/3/26,19.7,9.1,14.5
2018/3/27,20.6,11.3,15.7
2018/3/28,22.1,12.7,16.9
2018/3/29,22.8,13.2,17.5
2018/3/30,17.7,10.1,13.6
2018/3/31,17.9,9.4,13.7
2018/4/1,20.3,11.5,16.3
2018/4/2,22.9,13.5,17.0
2018/4/3,21.9,14.7,17.6
2018/4/4,25.0,14.9,19.8
2018/4/5,15.0,11.6,13.4
2018/4/6,22.2,12.5,18.4
2018/4/7,21.6,11.5,16.8
2018/4/8,15.8,10.2,12.7
2018/4/9,19.6,7.6,14.3
2018/4/10,17.5,9.9,13.9
2018/4/11,21.9,14.2,17.9
2018/4/12,25.4,15.5,18.8
2018/4/13,19.5,11.7,15.7
2018/4/14,19.7,12.4,15.6
2018/4/15,24.7,14.2,18.4
2018/4/16,18.6,12.6,14.9
2018/4/17,15.7,12.0,13.5
2018/4/18,16.5,12.6,13.8
2018/4/19,21.4,11.3,16.6
2018/4/20,24.8,13.7,18.4
2018/4/21,23.4,14.3,19.3
2018/4/22,25.8,15.0,20.2
2018/4/23,18.5,15.3,16.2
2018/4/24,22.0,15.2,18.5
2018/4/25,20.8,16.8,19.0
2018/4/26,23.3,16.0,18.8
2018/4/27,22.2,15.9,18.9
2018/4/28,24.7,16.7,20.1
2018/4/29,24.1,16.0,20.5
2018/4/30,24.3,18.5,21.0
2018/5/1,27.9,17.8,21.6
2018/5/2,25.2,17.6,20.5
2018/5/3,26.7,16.9,22.0
2018/5/4,23.3,14.7,18.5
2018/5/5,23.3,13.5,18.8
2018/5/6,25.3,16.1,20.6
2018/5/7,21.1,14.5,18.1
2018/5/8,15.0,12.3,13.8
2018/5/9,15.1,11.3,13.1
2018/5/10,15.4,11.2,13.2
2018/5/11,21.2,10.8,16.9
2018/5/12,23.2,14.1,18.8
2018/5/13,22.1,15.4,18.5
2018/5/14,28.5,16.0,21.1
2018/5/15,26.7,17.2,22.7
