É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/08/01 13:02:42

,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,
2020/1/1,-4.1,-7.3
2020/1/2,-2.4,-7.1
2020/1/3,-0.1,-5.4
2020/1/4,-1.8,-7.4
2020/1/5,-1.8,-8.6
2020/1/6,0.5,-3.2
2020/1/7,1.0,-5.1
2020/1/8,1.6,-5.4
2020/1/9,1.4,-4.9
2020/1/10,1.1,-5.8
2020/1/11,3.2,-4.9
2020/1/12,1.1,-4.1
2020/1/13,0.7,-5.2
2020/1/14,0.1,-5.0
2020/1/15,-2.0,-5.1
2020/1/16,-0.6,-6.6
2020/1/17,-0.2,-4.7
2020/1/18,-0.6,-7.2
2020/1/19,0.3,-8.8
2020/1/20,1.1,-2.4
2020/1/21,0.0,-3.2
2020/1/22,3.8,-5.5
2020/1/23,3.0,-4.6
2020/1/24,-0.5,-6.4
2020/1/25,-3.2,-7.1
2020/1/26,-1.4,-7.9
2020/1/27,1.7,-5.6
2020/1/28,2.9,-8.1
2020/1/29,2.1,-2.7
2020/1/30,3.9,1.1
2020/1/31,2.5,-1.0
2020/2/1,0.9,-2.3
2020/2/2,0.4,-3.1
2020/2/3,-1.0,-5.0
2020/2/4,-3.1,-7.2
2020/2/5,-4.6,-8.1
2020/2/6,-4.5,-10.5
2020/2/7,-1.5,-7.2
2020/2/8,-4.8,-11.5
2020/2/9,-7.7,-14.9
2020/2/10,-2.8,-9.8
2020/2/11,0.5,-6.4
2020/2/12,8.0,-6.6
2020/2/13,8.5,-1.1
2020/2/14,4.6,-0.1
2020/2/15,0.9,-4.7
2020/2/16,-2.5,-5.2
2020/2/17,1.7,-4.3
2020/2/18,2.2,-1.2
2020/2/19,0.8,-2.7
2020/2/20,2.3,-2.8
2020/2/21,2.3,-4.5
2020/2/22,6.6,-2.3
2020/2/23,5.0,-0.2
2020/2/24,3.1,-4.2
2020/2/25,2.3,-1.4
2020/2/26,2.2,-5.2
2020/2/27,0.6,-6.3
2020/2/28,2.4,-4.9
2020/2/29,-0.5,-7.2
2020/3/1,0.6,-3.8
2020/3/2,4.2,-1.4
2020/3/3,1.6,-1.8
2020/3/4,3.7,-0.9
2020/3/5,1.5,-0.3
2020/3/6,2.1,0.3
2020/3/7,3.5,-1.4
2020/3/8,7.1,0.4
2020/3/9,11.3,0.4
2020/3/10,7.2,1.1
2020/3/11,6.7,0.4
2020/3/12,6.4,0.2
2020/3/13,6.3,-1.9
2020/3/14,3.7,-2.0
2020/3/15,4.0,-3.3
2020/3/16,2.2,-2.2
2020/3/17,7.1,-2.8
2020/3/18,10.2,1.9
2020/3/19,10.9,1.9
2020/3/20,9.9,2.7
2020/3/21,9.9,3.1
2020/3/22,9.8,2.0
2020/3/23,6.2,0.5
2020/3/24,4.9,-0.4
2020/3/25,8.6,0.9
2020/3/26,8.9,0.5
2020/3/27,9.5,2.9
2020/3/28,8.9,2.0
2020/3/29,7.2,1.2
2020/3/30,11.6,-0.6
2020/3/31,14.1,0.7
2020/4/1,15.9,6.6
2020/4/2,10.1,3.1
2020/4/3,11.9,2.5
2020/4/4,15.0,3.5
2020/4/5,8.4,1.4
2020/4/6,8.9,1.1
2020/4/7,7.0,3.0
2020/4/8,11.8,3.5
2020/4/9,8.0,1.1
2020/4/10,6.2,1.8
2020/4/11,7.9,2.4
2020/4/12,7.3,0.0
2020/4/13,11.4,0.0
2020/4/14,9.2,1.4
2020/4/15,9.0,1.7
2020/4/16,8.1,2.5
2020/4/17,13.9,1.4
2020/4/18,12.6,4.0
2020/4/19,17.2,7.7
2020/4/20,10.3,5.6
2020/4/21,14.0,4.8
2020/4/22,10.2,2.7
2020/4/23,9.0,1.7
2020/4/24,9.4,1.8
2020/4/25,11.1,3.7
2020/4/26,10.7,5.4
2020/4/27,10.2,4.1
2020/4/28,14.9,4.5
2020/4/29,12.9,6.2
2020/4/30,20.9,4.2
2020/5/1,19.7,10.9
2020/5/2,23.3,8.7
2020/5/3,24.1,12.7
2020/5/4,22.5,9.9
2020/5/5,11.4,6.2
2020/5/6,11.9,5.2
2020/5/7,14.1,5.0
2020/5/8,22.7,6.2
2020/5/9,22.6,11.7
2020/5/10,15.0,11.3
2020/5/11,19.7,11.0
2020/5/12,21.4,8.3
2020/5/13,21.2,11.2
2020/5/14,18.6,10.3
2020/5/15,23.4,8.4
2020/5/16,16.5,10.6
2020/5/17,14.8,8.6
2020/5/18,12.6,5.9
2020/5/19,17.7,6.7
2020/5/20,13.9,7.0
2020/5/21,18.5,4.8
2020/5/22,14.4,6.3
2020/5/23,17.6,9.0
2020/5/24,20.6,11.1
2020/5/25,20.9,11.1
2020/5/26,13.2,10.9
2020/5/27,15.5,11.5
2020/5/28,17.5,10.7
2020/5/29,23.6,11.8
2020/5/30,29.9,13.9
2020/5/31,27.7,13.5
2020/6/1,29.1,13.6
2020/6/2,25.1,15.0
2020/6/3,24.5,14.7
2020/6/4,25.0,13.6
2020/6/5,22.3,13.8
2020/6/6,17.5,11.5
2020/6/7,17.7,10.9
2020/6/8,17.4,12.1
2020/6/9,26.5,14.1
2020/6/10,27.5,15.9
2020/6/11,24.9,18.5
2020/6/12,26.1,16.6
2020/6/13,30.0,15.5
2020/6/14,26.1,15.5
2020/6/15,25.0,16.1
2020/6/16,20.6,15.2
2020/6/17,19.3,14.2
2020/6/18,21.4,14.2
2020/6/19,16.9,14.3
2020/6/20,17.9,13.9
2020/6/21,21.6,13.3
2020/6/22,18.5,14.3
2020/6/23,25.6,16.8
2020/6/24,26.2,16.6
2020/6/25,18.9,16.2
2020/6/26,19.1,15.3
2020/6/27,21.6,15.0
2020/6/28,21.5,15.9
2020/6/29,20.4,15.7
2020/6/30,23.4,15.6
2020/7/1,26.1,18.8
2020/7/2,19.6,16.8
2020/7/3,23.4,16.6
2020/7/4,22.2,16.5
2020/7/5,27.5,15.3
2020/7/6,28.6,17.3
2020/7/7,27.0,18.2
2020/7/8,25.6,19.6
2020/7/9,27.8,19.4
2020/7/10,29.3,18.6
2020/7/11,24.0,19.1
2020/7/12,25.5,18.8
2020/7/13,22.9,18.2
2020/7/14,25.8,17.6
2020/7/15,25.1,17.2
