ダウンロードした時刻：2026/08/05 10:59:33

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2024/1/1,12.5,5.1,10.3
2024/1/2,9.6,4.2,7.2
2024/1/3,11.1,3.2,8.2
2024/1/4,15.4,7.8,10.8
2024/1/5,14.5,3.5,8.5
2024/1/6,14.3,4.2,9.9
2024/1/7,11.4,6.1,9.2
2024/1/8,10.5,3.1,6.5
2024/1/9,12.7,2.0,6.8
2024/1/10,11.8,1.9,7.9
2024/1/11,7.8,2.9,5.9
2024/1/12,14.6,1.4,8.2
2024/1/13,10.7,2.1,6.9
2024/1/14,12.1,2.8,7.5
2024/1/15,11.6,3.9,7.8
2024/1/16,8.4,1.4,5.0
2024/1/17,10.2,0.9,6.8
2024/1/18,12.6,3.6,9.1
2024/1/19,12.8,8.2,10.7
2024/1/20,8.2,5.1,7.0
2024/1/21,13.2,5.1,9.1
2024/1/22,13.9,7.8,11.1
2024/1/23,12.9,6.1,9.8
2024/1/24,8.4,1.5,5.1
2024/1/25,10.2,0.0,5.0
2024/1/26,12.5,1.8,6.9
2024/1/27,12.3,3.6,8.0
2024/1/28,9.7,3.8,7.3
2024/1/29,10.2,5.3,7.9
2024/1/30,11.5,5.5,8.6
2024/1/31,15.3,3.9,10.2
2024/2/1,15.9,5.8,10.6
2024/2/2,7.0,4.5,5.5
2024/2/3,9.6,4.4,7.2
2024/2/4,8.4,3.4,5.8
2024/2/5,6.9,0.8,4.2
2024/2/6,6.3,2.4,5.1
2024/2/7,8.9,3.0,6.1
2024/2/8,10.4,2.6,6.9
2024/2/9,9.8,5.8,7.6
2024/2/10,12.7,2.4,8.1
2024/2/11,11.9,4.8,8.5
2024/2/12,11.3,4.7,7.9
2024/2/13,16.8,4.9,10.7
2024/2/14,16.0,5.3,11.0
2024/2/15,20.5,7.5,14.8
2024/2/16,17.0,7.0,10.9
2024/2/17,12.6,5.8,9.5
2024/2/18,18.9,9.4,13.7
2024/2/19,19.1,12.4,15.8
2024/2/20,22.6,13.1,17.2
2024/2/21,13.2,7.6,9.2
2024/2/22,8.9,4.9,6.4
2024/2/23,5.0,2.7,3.7
2024/2/24,8.9,3.3,6.3
2024/2/25,7.4,4.3,5.4
2024/2/26,12.8,4.7,8.6
2024/2/27,11.3,4.8,7.5
2024/2/28,13.9,5.0,8.8
2024/2/29,10.8,5.0,8.1
2024/3/1,16.7,4.3,10.4
2024/3/2,11.1,4.6,6.9
2024/3/3,13.0,2.4,8.1
2024/3/4,13.4,4.3,9.6
2024/3/5,9.3,3.8,7.1
2024/3/6,9.8,3.2,6.4
2024/3/7,9.2,5.3,7.1
2024/3/8,8.5,1.8,5.6
2024/3/9,10.7,4.4,7.1
2024/3/10,12.0,2.2,7.2
2024/3/11,13.3,4.3,8.8
2024/3/12,11.4,7.2,9.0
2024/3/13,13.1,7.5,10.1
2024/3/14,14.5,6.1,10.3
2024/3/15,16.3,7.4,12.2
2024/3/16,20.2,10.9,14.5
2024/3/17,20.4,10.9,16.1
2024/3/18,15.0,5.7,9.8
2024/3/19,11.9,5.3,8.8
2024/3/20,16.8,5.6,10.0
2024/3/21,11.0,3.9,7.0
2024/3/22,12.1,3.6,8.0
2024/3/23,8.4,3.9,6.6
2024/3/24,13.8,5.6,10.3
2024/3/25,13.4,11.5,12.1
2024/3/26,12.9,6.7,10.3
2024/3/27,15.3,7.7,11.3
2024/3/28,14.0,8.7,11.4
2024/3/29,20.9,12.4,16.4
2024/3/30,22.3,11.9,17.0
2024/3/31,27.5,15.1,20.7
2024/4/1,17.5,12.2,14.4
2024/4/2,18.3,9.1,14.2
2024/4/3,16.1,12.6,14.0
2024/4/4,18.6,12.1,15.4
2024/4/5,16.4,9.8,12.0
2024/4/6,15.6,9.8,12.8
2024/4/7,20.6,13.5,16.2
2024/4/8,20.0,14.1,16.8
2024/4/9,19.8,10.6,16.0
2024/4/10,15.0,8.1,11.7
2024/4/11,17.3,9.3,14.0
2024/4/12,16.8,14.2,15.3
2024/4/13,19.9,13.5,16.2
2024/4/14,23.0,14.5,17.6
2024/4/15,25.8,15.0,19.2
2024/4/16,22.4,15.1,19.1
2024/4/17,23.8,17.4,19.6
2024/4/18,19.4,15.6,17.6
2024/4/19,23.6,14.8,18.8
2024/4/20,25.3,14.3,18.9
2024/4/21,20.9,15.4,17.7
2024/4/22,18.2,14.1,16.3
2024/4/23,18.5,15.9,17.0
2024/4/24,16.6,14.6,15.5
2024/4/25,24.4,14.3,19.2
2024/4/26,23.1,17.2,19.9
2024/4/27,20.8,17.5,19.0
2024/4/28,27.0,16.2,20.6
2024/4/29,24.7,18.7,21.2
2024/4/30,24.0,18.0,20.7
2024/5/1,21.7,12.9,17.2
2024/5/2,19.4,12.0,15.8
2024/5/3,23.3,13.1,18.3
2024/5/4,26.9,14.8,20.8
2024/5/5,25.3,17.2,21.1
2024/5/6,22.6,19.2,21.1
2024/5/7,21.8,18.8,20.6
2024/5/8,22.5,13.0,18.7
2024/5/9,17.7,11.3,14.3
2024/5/10,22.8,10.7,17.8
2024/5/11,24.9,17.3,20.7
2024/5/12,23.9,17.8,20.9
2024/5/13,22.1,15.8,19.6
2024/5/14,20.3,15.3,17.5
