ダウンロードした時刻：2026/08/05 11:03:20

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2016/1/1,12.6,5.9,8.7
2016/1/2,12.4,3.9,8.2
2016/1/3,13.5,4.8,9.6
2016/1/4,14.5,5.1,10.2
2016/1/5,14.2,8.4,11.5
2016/1/6,10.8,7.9,9.3
2016/1/7,13.5,6.5,9.6
2016/1/8,10.6,4.5,8.4
2016/1/9,10.7,3.2,8.1
2016/1/10,12.6,3.6,8.9
2016/1/11,9.6,5.7,8.0
2016/1/12,7.5,2.2,4.4
2016/1/13,9.4,0.6,5.4
2016/1/14,10.4,1.5,6.8
2016/1/15,10.2,3.8,6.7
2016/1/16,10.2,3.6,7.2
2016/1/17,9.1,3.9,6.7
2016/1/18,10.5,0.5,4.9
2016/1/19,9.8,2.2,6.2
2016/1/20,9.9,0.8,5.1
2016/1/21,9.7,1.4,6.5
2016/1/22,10.1,3.8,6.6
2016/1/23,6.7,3.3,4.6
2016/1/24,8.6,-0.6,3.8
2016/1/25,7.6,-2.4,3.3
2016/1/26,8.6,0.7,5.1
2016/1/27,12.5,0.3,7.2
2016/1/28,12.1,2.2,8.3
2016/1/29,9.6,3.5,6.5
2016/1/30,5.7,2.5,4.3
2016/1/31,9.4,3.1,6.8
2016/2/1,8.0,4.5,5.5
2016/2/2,10.2,3.9,6.3
2016/2/3,7.8,3.7,5.5
2016/2/4,9.2,3.5,6.1
2016/2/5,10.9,2.1,7.6
2016/2/6,9.1,5.2,7.3
2016/2/7,8.7,2.7,5.8
2016/2/8,8.9,2.9,5.3
2016/2/9,13.5,1.4,7.1
2016/2/10,10.5,3.9,6.7
2016/2/11,9.1,3.9,6.6
2016/2/12,12.2,3.7,8.1
2016/2/13,20.1,8.9,14.3
2016/2/14,21.3,16.2,18.3
2016/2/15,17.7,3.5,8.7
2016/2/16,10.3,2.8,6.1
2016/2/17,13.6,1.7,6.9
2016/2/18,10.5,3.4,6.7
2016/2/19,16.4,3.6,10.1
2016/2/20,11.3,7.6,9.0
2016/2/21,15.4,7.5,10.5
2016/2/22,9.2,6.0,7.3
2016/2/23,9.5,5.5,7.4
2016/2/24,8.3,3.4,6.6
2016/2/25,6.8,1.4,4.2
2016/2/26,10.3,1.8,6.5
2016/2/27,12.2,3.1,8.5
2016/2/28,13.1,5.0,9.1
2016/2/29,15.5,5.4,8.9
2016/3/1,9.5,3.0,5.6
2016/3/2,11.5,3.0,7.0
2016/3/3,14.0,4.1,9.4
2016/3/4,13.7,7.9,10.4
2016/3/5,15.0,8.6,10.9
2016/3/6,16.9,9.7,13.2
2016/3/7,17.1,13.5,14.6
2016/3/8,19.5,12.5,14.9
2016/3/9,15.6,4.8,9.3
2016/3/10,7.8,4.7,6.6
2016/3/11,6.9,3.5,5.2
2016/3/12,7.8,4.6,6.3
2016/3/13,9.0,5.6,7.3
2016/3/14,7.7,4.9,6.5
2016/3/15,13.6,5.0,8.9
2016/3/16,13.9,5.7,9.5
2016/3/17,18.7,7.4,12.7
2016/3/18,19.4,8.7,15.1
2016/3/19,16.8,13.8,15.2
2016/3/20,15.9,10.4,12.9
2016/3/21,11.5,8.1,9.6
2016/3/22,16.0,7.2,11.4
2016/3/23,15.8,7.7,11.7
2016/3/24,8.8,4.6,6.8
2016/3/25,13.2,5.2,8.7
2016/3/26,10.6,5.8,7.9
2016/3/27,14.0,7.5,10.4
2016/3/28,13.6,9.1,11.3
2016/3/29,17.6,8.0,12.7
2016/3/30,20.0,10.8,15.2
2016/3/31,19.0,11.7,15.0
2016/4/1,16.0,8.9,12.9
2016/4/2,12.9,8.7,10.8
2016/4/3,17.8,10.3,13.7
2016/4/4,21.9,10.2,16.0
2016/4/5,12.4,9.7,11.2
2016/4/6,18.9,8.3,14.4
2016/4/7,21.7,12.0,15.1
2016/4/8,21.4,13.1,15.9
2016/4/9,22.1,13.3,17.4
2016/4/10,21.6,12.8,16.7
2016/4/11,16.2,8.2,11.7
2016/4/12,14.3,6.5,10.6
2016/4/13,19.8,11.5,15.2
2016/4/14,16.9,13.8,15.2
2016/4/15,20.1,12.4,16.5
2016/4/16,19.9,12.3,16.0
2016/4/17,22.5,17.2,19.3
2016/4/18,24.1,14.4,18.7
2016/4/19,21.1,13.1,15.9
2016/4/20,18.8,11.0,15.0
2016/4/21,20.6,14.4,17.5
2016/4/22,19.8,13.8,16.3
2016/4/23,22.1,14.0,17.7
2016/4/24,19.4,12.8,16.1
2016/4/25,21.1,14.3,17.3
2016/4/26,24.3,15.5,19.3
2016/4/27,20.2,15.6,17.6
2016/4/28,15.8,13.9,14.9
2016/4/29,19.7,13.3,16.2
2016/4/30,20.7,11.6,16.6
2016/5/1,23.9,12.6,17.5
2016/5/2,19.9,13.8,16.8
2016/5/3,24.0,15.8,19.8
2016/5/4,26.0,18.7,21.7
2016/5/5,26.5,18.9,22.3
2016/5/6,20.9,16.6,18.6
2016/5/7,23.5,17.3,20.4
2016/5/8,25.8,18.2,20.9
2016/5/9,21.8,16.2,18.5
2016/5/10,22.0,16.6,19.0
2016/5/11,26.2,18.1,22.2
2016/5/12,26.1,17.6,21.4
2016/5/13,25.6,17.0,21.0
2016/5/14,22.6,15.0,19.6
