É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/08/01 13:01:24

,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,
2023/1/1,1.5,-6.1
2023/1/2,-4.8,-8.2
2023/1/3,-3.7,-7.5
2023/1/4,-2.3,-7.2
2023/1/5,0.0,-5.0
2023/1/6,1.4,-3.0
2023/1/7,-0.4,-5.7
2023/1/8,-1.2,-7.4
2023/1/9,2.7,-4.5
2023/1/10,-1.1,-5.1
2023/1/11,2.4,-4.1
2023/1/12,6.0,-3.0
2023/1/13,7.6,-4.6
2023/1/14,5.4,-2.8
2023/1/15,-2.8,-6.4
2023/1/16,-2.4,-6.4
2023/1/17,-2.2,-9.6
2023/1/18,0.3,-7.3
2023/1/19,-1.4,-7.4
2023/1/20,1.7,-3.2
2023/1/21,-2.8,-8.7
2023/1/22,-3.0,-8.3
2023/1/23,-3.8,-8.5
2023/1/24,-5.1,-12.4
2023/1/25,-8.9,-12.8
2023/1/26,-4.6,-10.2
2023/1/27,-2.2,-10.1
2023/1/28,-3.1,-10.6
2023/1/29,-4.2,-11.6
2023/1/30,-0.8,-13.2
2023/1/31,-3.1,-10.0
2023/2/1,0.0,-9.0
2023/2/2,-1.4,-7.8
2023/2/3,-3.0,-8.3
2023/2/4,-1.9,-7.8
2023/2/5,0.1,-8.7
2023/2/6,1.7,-4.0
2023/2/7,1.5,-6.4
2023/2/8,-0.5,-8.3
2023/2/9,-3.5,-6.8
2023/2/10,-2.1,-8.1
2023/2/11,1.2,-6.8
2023/2/12,3.3,-1.3
2023/2/13,0.9,-3.5
2023/2/14,-0.6,-9.3
2023/2/15,-6.4,-10.5
2023/2/16,-0.2,-8.6
2023/2/17,3.6,-6.0
2023/2/18,5.7,-2.8
2023/2/19,2.2,-2.2
2023/2/20,-0.5,-5.8
2023/2/21,-3.0,-9.1
2023/2/22,0.7,-7.9
2023/2/23,2.9,-4.0
2023/2/24,2.9,-5.6
2023/2/25,0.7,-5.9
2023/2/26,-0.9,-6.7
2023/2/27,3.6,-8.1
2023/2/28,11.2,-4.7
2023/3/1,6.8,1.3
2023/3/2,3.0,-1.6
2023/3/3,3.8,-2.7
2023/3/4,2.5,-2.5
2023/3/5,6.3,-5.4
2023/3/6,10.7,-2.2
2023/3/7,11.5,3.3
2023/3/8,11.2,2.1
2023/3/9,7.2,-1.4
2023/3/10,7.5,1.6
2023/3/11,5.4,1.5
2023/3/12,7.6,0.9
2023/3/13,9.7,2.1
2023/3/14,5.1,0.1
2023/3/15,9.6,-0.7
2023/3/16,6.3,1.9
2023/3/17,5.7,0.2
2023/3/18,7.0,0.3
2023/3/19,10.7,-0.8
2023/3/20,14.3,0.3
2023/3/21,16.9,3.2
2023/3/22,19.1,4.4
2023/3/23,14.3,9.3
2023/3/24,10.0,1.4
2023/3/25,9.1,-0.7
2023/3/26,7.1,1.5
2023/3/27,8.3,1.2
2023/3/28,12.9,0.6
2023/3/29,12.6,1.4
2023/3/30,14.5,4.4
2023/3/31,11.8,5.9
2023/4/1,8.3,3.2
2023/4/2,10.5,2.9
2023/4/3,13.0,1.6
2023/4/4,17.0,3.8
2023/4/5,16.8,8.1
2023/4/6,15.3,9.4
2023/4/7,13.1,7.4
2023/4/8,12.6,5.4
2023/4/9,8.4,3.9
2023/4/10,17.1,3.0
2023/4/11,17.5,8.1
2023/4/12,14.6,4.5
2023/4/13,12.5,5.3
2023/4/14,14.0,5.0
2023/4/15,11.9,3.7
2023/4/16,8.3,4.2
2023/4/17,4.9,1.5
2023/4/18,14.5,1.5
2023/4/19,11.8,6.0
2023/4/20,13.8,7.4
2023/4/21,13.4,7.3
2023/4/22,9.4,5.5
2023/4/23,11.5,5.5
2023/4/24,10.5,4.6
2023/4/25,16.9,5.1
2023/4/26,13.3,6.8
2023/4/27,14.7,6.6
2023/4/28,19.5,6.8
2023/4/29,18.1,9.4
2023/4/30,21.1,10.6
2023/5/1,18.5,7.5
2023/5/2,15.0,6.9
2023/5/3,22.7,7.1
2023/5/4,24.1,10.4
2023/5/5,22.8,11.6
2023/5/6,12.9,9.0
2023/5/7,15.2,7.9
2023/5/8,12.4,7.5
2023/5/9,17.4,5.9
2023/5/10,16.1,8.0
2023/5/11,11.1,5.6
2023/5/12,12.4,5.3
2023/5/13,21.5,4.7
2023/5/14,23.7,10.6
2023/5/15,15.7,11.6
2023/5/16,22.0,12.3
2023/5/17,21.8,11.9
2023/5/18,28.9,12.7
2023/5/19,19.4,10.1
2023/5/20,23.7,9.6
2023/5/21,16.8,10.6
2023/5/22,17.4,9.0
2023/5/23,14.1,8.9
2023/5/24,18.0,7.5
2023/5/25,26.2,8.5
2023/5/26,25.6,12.8
2023/5/27,25.8,15.4
2023/5/28,23.0,15.3
2023/5/29,16.4,11.1
2023/5/30,15.1,9.2
2023/5/31,19.6,8.0
2023/6/1,24.7,9.6
2023/6/2,21.9,15.2
2023/6/3,16.4,9.4
2023/6/4,17.4,8.2
2023/6/5,17.7,8.9
2023/6/6,22.5,10.9
2023/6/7,20.6,15.1
2023/6/8,26.2,14.3
2023/6/9,19.2,15.4
2023/6/10,22.5,14.9
2023/6/11,24.2,13.4
2023/6/12,25.6,15.7
2023/6/13,21.9,16.9
2023/6/14,23.2,16.5
2023/6/15,26.5,16.0
2023/6/16,27.3,17.3
2023/6/17,28.7,16.9
2023/6/18,21.5,15.4
2023/6/19,20.0,14.7
2023/6/20,23.6,13.8
2023/6/21,28.2,14.5
2023/6/22,24.5,17.1
2023/6/23,26.0,17.0
2023/6/24,25.3,16.8
2023/6/25,27.9,16.3
2023/6/26,28.3,17.6
2023/6/27,31.2,17.9
2023/6/28,29.2,20.5
2023/6/29,28.2,21.0
2023/6/30,25.7,20.1
2023/7/1,21.2,17.8
2023/7/2,22.9,17.0
2023/7/3,23.9,17.7
2023/7/4,24.8,18.2
2023/7/5,27.4,18.0
2023/7/6,25.2,18.4
2023/7/7,26.1,19.2
2023/7/8,31.4,19.6
2023/7/9,31.4,21.3
2023/7/10,28.4,20.9
2023/7/11,30.2,21.4
2023/7/12,26.1,21.6
2023/7/13,26.7,20.3
2023/7/14,25.4,20.0
2023/7/15,21.4,19.4
2023/7/16,28.0,20.1
