ダウンロードした時刻：2026/08/05 11:01:14

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2021/1/1,9.6,-0.1,5.8
2021/1/2,9.7,0.8,5.7
2021/1/3,7.6,1.6,5.1
2021/1/4,9.9,2.6,6.7
2021/1/5,9.6,3.8,7.0
2021/1/6,7.2,4.8,6.2
2021/1/7,12.2,3.3,7.2
2021/1/8,5.8,-0.6,3.4
2021/1/9,8.4,-1.9,3.6
2021/1/10,6.8,-1.3,3.7
2021/1/11,6.1,-0.4,3.9
2021/1/12,5.7,1.9,4.4
2021/1/13,10.8,0.0,6.3
2021/1/14,14.1,2.1,8.8
2021/1/15,9.5,5.8,7.7
2021/1/16,18.6,4.7,11.3
2021/1/17,8.2,5.3,6.7
2021/1/18,7.8,3.7,5.5
2021/1/19,9.3,1.7,5.3
2021/1/20,8.0,1.5,4.9
2021/1/21,9.6,1.4,5.9
2021/1/22,12.8,2.7,8.7
2021/1/23,11.4,4.1,7.4
2021/1/24,7.4,3.1,5.4
2021/1/25,12.7,5.5,8.9
2021/1/26,11.5,3.7,8.3
2021/1/27,13.5,7.3,10.3
2021/1/28,9.3,2.3,5.6
2021/1/29,11.1,2.1,6.4
2021/1/30,8.8,1.8,5.3
2021/1/31,11.7,1.0,6.5
2021/2/1,15.0,3.9,8.3
2021/2/2,16.3,6.2,10.6
2021/2/3,10.6,2.6,7.4
2021/2/4,13.4,2.3,8.0
2021/2/5,11.4,3.2,7.7
2021/2/6,12.1,4.9,9.0
2021/2/7,16.6,5.2,10.4
2021/2/8,9.6,3.3,6.8
2021/2/9,9.8,1.9,5.2
2021/2/10,11.8,2.3,7.4
2021/2/11,13.9,3.5,9.3
2021/2/12,11.1,5.4,8.8
2021/2/13,15.9,7.0,10.8
2021/2/14,17.6,9.2,12.6
2021/2/15,14.5,10.4,12.4
2021/2/16,16.5,7.8,11.8
2021/2/17,14.4,3.0,8.6
2021/2/18,8.6,0.3,4.4
2021/2/19,11.8,1.2,7.3
2021/2/20,17.4,2.3,11.4
2021/2/21,20.2,8.5,14.6
2021/2/22,21.7,8.8,14.8
2021/2/23,16.2,5.9,11.7
2021/2/24,11.0,4.1,6.9
2021/2/25,11.3,2.8,6.8
2021/2/26,11.3,6.6,9.3
2021/2/27,8.6,4.2,6.3
2021/2/28,12.5,0.9,7.2
2021/3/1,18.0,7.3,12.3
2021/3/2,21.1,8.6,14.3
2021/3/3,10.4,4.7,7.7
2021/3/4,12.7,5.5,9.3
2021/3/5,15.1,9.6,12.3
2021/3/6,18.3,10.8,13.0
2021/3/7,10.8,6.6,8.0
2021/3/8,8.3,5.9,7.3
2021/3/9,12.9,6.5,9.7
2021/3/10,18.9,8.5,12.6
2021/3/11,15.2,5.7,10.3
2021/3/12,15.7,9.1,12.4
2021/3/13,14.0,10.1,11.9
2021/3/14,18.5,8.8,13.4
2021/3/15,19.0,8.7,13.3
2021/3/16,21.4,9.1,15.8
2021/3/17,18.3,9.3,13.9
2021/3/18,17.3,8.1,12.1
2021/3/19,15.8,10.9,12.9
2021/3/20,17.3,11.4,14.3
2021/3/21,19.7,14.6,17.6
2021/3/22,16.4,8.3,12.9
2021/3/23,14.8,5.1,11.2
2021/3/24,19.6,8.2,14.3
2021/3/25,18.5,12.4,14.9
2021/3/26,19.6,10.5,14.2
2021/3/27,18.0,10.3,13.9
2021/3/28,19.1,15.0,16.9
2021/3/29,22.4,13.7,17.2
2021/3/30,20.9,14.9,17.3
2021/3/31,19.9,15.2,17.2
2021/4/1,19.2,14.4,16.3
2021/4/2,19.4,14.2,16.2
2021/4/3,19.6,13.0,16.8
2021/4/4,22.9,16.4,18.5
2021/4/5,18.9,10.2,14.2
2021/4/6,13.9,8.6,11.2
2021/4/7,17.2,8.9,13.5
2021/4/8,17.9,11.1,14.0
2021/4/9,16.5,9.0,12.1
2021/4/10,13.8,7.8,10.5
2021/4/11,16.6,9.2,13.0
2021/4/12,18.9,10.9,14.6
2021/4/13,20.4,12.6,16.0
2021/4/14,20.7,8.7,16.0
2021/4/15,14.5,7.5,11.1
2021/4/16,17.6,11.0,14.2
2021/4/17,18.9,14.7,16.0
2021/4/18,22.2,12.3,17.1
2021/4/19,20.3,10.8,15.9
2021/4/20,22.4,12.3,17.3
2021/4/21,23.2,14.2,18.4
2021/4/22,27.0,12.1,18.2
2021/4/23,17.4,9.9,13.6
2021/4/24,20.2,10.4,15.5
2021/4/25,22.2,13.1,17.4
2021/4/26,18.2,9.9,13.2
2021/4/27,20.0,11.1,15.2
2021/4/28,23.0,13.0,18.7
2021/4/29,19.5,16.4,17.6
2021/4/30,23.5,15.0,19.1
2021/5/1,22.7,15.4,18.1
2021/5/2,22.5,13.0,17.9
2021/5/3,21.3,12.0,16.8
2021/5/4,24.0,13.2,18.7
2021/5/5,21.5,17.9,19.5
2021/5/6,21.3,15.9,18.2
2021/5/7,19.2,14.9,17.4
2021/5/8,23.0,13.6,19.5
2021/5/9,28.3,18.5,22.9
2021/5/10,24.2,16.7,20.4
2021/5/11,19.4,17.1,17.8
2021/5/12,20.1,16.0,17.9
2021/5/13,18.1,15.2,16.8
2021/5/14,25.9,17.2,20.5
2021/5/15,26.6,18.5,21.1
