ダウンロードした時刻：2026/08/05 11:00:38

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2022/1/1,8.2,-0.5,4.0
2022/1/2,9.1,2.5,4.9
2022/1/3,9.5,2.4,7.0
2022/1/4,12.2,1.9,6.0
2022/1/5,8.4,2.4,5.2
2022/1/6,3.5,0.3,2.0
2022/1/7,9.5,-1.8,4.6
2022/1/8,8.5,3.0,6.0
2022/1/9,11.3,0.3,7.2
2022/1/10,9.7,7.8,8.6
2022/1/11,8.2,5.4,6.5
2022/1/12,8.7,3.0,5.9
2022/1/13,11.5,3.4,6.3
2022/1/14,9.2,1.4,5.1
2022/1/15,11.6,1.4,6.5
2022/1/16,11.2,2.3,6.9
2022/1/17,10.2,2.5,6.9
2022/1/18,8.0,2.3,5.2
2022/1/19,7.5,1.7,5.0
2022/1/20,8.3,-0.5,4.2
2022/1/21,7.4,0.3,3.8
2022/1/22,8.3,1.8,5.6
2022/1/23,7.9,3.6,6.0
2022/1/24,10.4,3.9,7.1
2022/1/25,7.5,3.4,5.6
2022/1/26,8.0,4.5,6.3
2022/1/27,11.7,2.7,7.4
2022/1/28,9.3,5.2,7.0
2022/1/29,9.1,4.8,6.7
2022/1/30,8.2,3.8,6.0
2022/1/31,9.6,3.1,5.8
2022/2/1,9.6,2.5,6.6
2022/2/2,10.9,2.9,7.1
2022/2/3,9.5,1.4,6.4
2022/2/4,8.0,3.7,5.7
2022/2/5,8.7,0.8,4.1
2022/2/6,6.8,-1.2,3.4
2022/2/7,8.5,0.9,5.4
2022/2/8,7.9,3.8,6.0
2022/2/9,9.1,4.1,6.7
2022/2/10,6.8,1.9,3.7
2022/2/11,8.5,1.8,4.9
2022/2/12,8.4,3.4,5.7
2022/2/13,6.1,2.2,4.5
2022/2/14,7.3,2.3,4.8
2022/2/15,12.1,1.8,6.4
2022/2/16,12.0,2.8,6.9
2022/2/17,9.3,1.5,5.1
2022/2/18,10.7,1.5,6.6
2022/2/19,8.4,2.7,5.9
2022/2/20,10.0,3.0,6.5
2022/2/21,8.9,1.8,4.6
2022/2/22,8.4,1.1,4.9
2022/2/23,8.7,1.2,5.1
2022/2/24,9.9,2.4,5.4
2022/2/25,12.2,1.6,7.2
2022/2/26,13.6,3.2,9.2
2022/2/27,18.7,5.0,10.3
2022/2/28,14.5,5.7,10.2
2022/3/1,17.4,6.3,11.3
2022/3/2,13.8,8.5,11.1
2022/3/3,14.5,6.5,9.6
2022/3/4,10.3,5.7,8.1
2022/3/5,18.1,5.6,11.6
2022/3/6,11.9,4.9,8.2
2022/3/7,12.5,4.9,8.7
2022/3/8,8.8,5.3,7.0
2022/3/9,12.2,5.1,8.4
2022/3/10,14.4,5.1,9.4
2022/3/11,18.3,6.5,12.3
2022/3/12,20.2,9.3,14.4
2022/3/13,19.8,10.2,14.6
2022/3/14,22.5,7.9,16.6
2022/3/15,18.1,7.3,11.4
2022/3/16,20.1,10.8,13.7
2022/3/17,17.2,10.3,13.3
2022/3/18,10.9,4.6,5.9
2022/3/19,16.3,4.9,10.4
2022/3/20,14.8,6.2,10.7
2022/3/21,12.3,6.5,9.3
2022/3/22,11.4,2.1,4.6
2022/3/23,9.7,3.1,6.1
2022/3/24,13.7,3.6,8.5
2022/3/25,17.4,6.6,12.5
2022/3/26,17.8,14.0,16.2
2022/3/27,20.7,12.4,15.8
2022/3/28,17.7,11.6,14.0
2022/3/29,11.8,9.8,10.7
2022/3/30,19.4,8.9,14.2
2022/3/31,21.0,9.9,15.3
2022/4/1,12.9,4.9,8.2
2022/4/2,11.6,5.6,8.8
2022/4/3,10.3,8.0,9.1
2022/4/4,10.8,7.8,9.5
2022/4/5,16.8,9.2,12.8
2022/4/6,20.5,11.2,15.6
2022/4/7,16.9,12.2,14.6
2022/4/8,20.3,11.9,15.4
2022/4/9,21.7,11.2,16.9
2022/4/10,25.4,14.2,18.9
2022/4/11,23.2,15.5,18.8
2022/4/12,23.5,16.8,19.7
2022/4/13,24.9,16.2,20.1
2022/4/14,18.3,10.0,12.6
2022/4/15,12.0,9.0,10.8
2022/4/16,17.8,9.1,12.5
2022/4/17,16.4,11.0,13.7
2022/4/18,17.7,12.7,15.0
2022/4/19,19.8,12.2,15.4
2022/4/20,14.6,10.5,13.0
2022/4/21,20.4,13.4,16.5
2022/4/22,24.4,14.2,19.0
2022/4/23,25.9,16.2,20.0
2022/4/24,19.8,16.1,17.8
2022/4/25,25.9,14.5,19.9
2022/4/26,23.0,17.6,20.7
2022/4/27,25.6,18.7,22.2
2022/4/28,18.7,14.8,16.7
2022/4/29,16.3,10.3,13.7
2022/4/30,16.0,9.1,12.6
2022/5/1,16.9,11.9,13.6
2022/5/2,19.4,11.7,14.3
2022/5/3,19.8,11.6,15.4
2022/5/4,23.5,12.6,18.7
2022/5/5,24.9,15.5,19.7
2022/5/6,24.5,15.8,20.0
2022/5/7,21.0,16.0,18.6
2022/5/8,21.6,16.0,18.3
2022/5/9,17.5,12.5,15.1
2022/5/10,20.9,12.5,16.9
2022/5/11,22.5,15.1,18.6
2022/5/12,24.5,17.6,19.7
2022/5/13,22.0,17.7,19.4
2022/5/14,25.0,20.1,21.9
2022/5/15,20.3,15.7,17.8
