ダウンロードした時刻：2026/08/05 11:02:54

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2017/1/1,12.5,3.7,8.6
2017/1/2,11.9,5.1,8.6
2017/1/3,13.6,3.7,8.9
2017/1/4,14.1,5.5,9.5
2017/1/5,10.3,4.4,7.4
2017/1/6,7.7,3.3,5.8
2017/1/7,8.3,1.6,5.6
2017/1/8,7.2,2.9,5.5
2017/1/9,11.0,5.5,8.4
2017/1/10,11.9,4.8,9.3
2017/1/11,10.2,5.9,8.0
2017/1/12,12.4,2.6,7.6
2017/1/13,13.3,4.0,7.8
2017/1/14,7.6,-0.2,3.7
2017/1/15,6.0,-1.6,1.4
2017/1/16,8.5,-1.6,3.8
2017/1/17,10.7,2.1,6.5
2017/1/18,9.9,2.1,6.8
2017/1/19,11.2,4.5,7.3
2017/1/20,5.0,3.2,4.0
2017/1/21,11.2,1.8,6.9
2017/1/22,14.0,1.2,7.0
2017/1/23,8.1,0.5,4.4
2017/1/24,7.7,-0.9,3.3
2017/1/25,9.2,0.6,4.7
2017/1/26,9.2,0.0,5.7
2017/1/27,16.4,3.4,11.3
2017/1/28,11.5,6.9,9.3
2017/1/29,11.7,5.9,8.9
2017/1/30,21.1,7.3,11.9
2017/1/31,10.0,3.5,6.6
2017/2/1,9.6,2.8,6.6
2017/2/2,10.5,2.4,5.5
2017/2/3,13.2,3.2,8.0
2017/2/4,12.1,6.0,8.6
2017/2/5,8.6,4.2,7.3
2017/2/6,13.7,4.9,8.9
2017/2/7,10.1,3.9,6.1
2017/2/8,10.0,3.6,7.1
2017/2/9,7.0,1.6,3.3
2017/2/10,9.4,2.3,4.6
2017/2/11,10.6,-0.7,4.7
2017/2/12,11.3,0.6,5.5
2017/2/13,11.2,3.0,7.2
2017/2/14,10.3,3.0,6.7
2017/2/15,11.2,2.2,6.9
2017/2/16,13.0,3.9,8.3
2017/2/17,19.9,6.4,14.0
2017/2/18,10.2,7.2,8.5
2017/2/19,10.1,2.6,6.6
2017/2/20,19.0,3.6,11.2
2017/2/21,9.6,4.4,6.5
2017/2/22,11.6,2.8,7.5
2017/2/23,17.4,9.4,12.7
2017/2/24,10.6,5.2,7.8
2017/2/25,11.5,4.8,7.5
2017/2/26,11.9,4.3,8.5
2017/2/27,8.8,4.6,6.4
2017/2/28,7.9,3.8,5.6
2017/3/1,11.7,2.7,6.8
2017/3/2,9.1,6.7,7.6
2017/3/3,15.9,4.5,9.3
2017/3/4,13.6,5.8,9.3
2017/3/5,15.0,5.5,10.7
2017/3/6,12.3,8.3,9.6
2017/3/7,9.7,3.7,6.9
2017/3/8,10.4,2.5,6.5
2017/3/9,12.7,2.2,7.8
2017/3/10,13.1,4.3,8.9
2017/3/11,11.5,5.5,7.9
2017/3/12,10.3,4.6,7.7
2017/3/13,11.8,6.7,9.0
2017/3/14,10.9,7.2,8.6
2017/3/15,7.8,4.6,5.9
2017/3/16,13.7,3.7,8.5
2017/3/17,13.0,5.7,9.7
2017/3/18,14.0,5.0,10.5
2017/3/19,17.6,6.3,12.3
2017/3/20,16.6,8.0,12.6
2017/3/21,13.0,7.8,9.9
2017/3/22,14.6,6.7,10.3
2017/3/23,13.1,6.7,10.0
2017/3/24,12.9,5.9,8.9
2017/3/25,11.1,4.9,8.0
2017/3/26,9.0,5.8,6.9
2017/3/27,8.5,2.8,6.2
2017/3/28,12.7,5.1,8.9
2017/3/29,13.5,5.7,9.2
2017/3/30,16.7,6.7,12.1
2017/3/31,13.5,5.7,9.1
2017/4/1,9.0,5.4,7.0
2017/4/2,12.1,5.9,8.8
2017/4/3,15.3,7.4,10.1
2017/4/4,15.5,6.6,11.1
2017/4/5,18.7,8.7,14.7
2017/4/6,20.5,14.8,17.0
2017/4/7,20.2,16.0,17.4
2017/4/8,18.0,13.1,15.9
2017/4/9,18.0,12.5,14.1
2017/4/10,13.5,8.6,11.0
2017/4/11,11.4,7.5,9.6
2017/4/12,20.6,8.5,14.5
2017/4/13,16.3,9.4,12.6
2017/4/14,19.3,8.6,15.2
2017/4/15,22.5,15.3,19.0
2017/4/16,23.9,13.0,18.4
2017/4/17,22.0,14.1,17.1
2017/4/18,22.5,14.5,19.1
2017/4/19,25.9,13.8,18.5
2017/4/20,19.3,10.6,15.3
2017/4/21,17.7,14.0,15.6
2017/4/22,17.7,11.1,14.8
2017/4/23,18.0,10.9,13.8
2017/4/24,17.6,12.1,14.6
2017/4/25,20.8,11.6,16.0
2017/4/26,18.8,15.0,16.9
2017/4/27,18.1,12.2,14.7
2017/4/28,20.7,12.6,15.9
2017/4/29,22.7,12.2,16.9
2017/4/30,23.7,12.8,18.4
2017/5/1,22.9,15.2,17.7
2017/5/2,21.4,13.8,16.6
2017/5/3,21.4,14.0,17.2
2017/5/4,23.0,15.4,18.2
2017/5/5,24.9,15.7,19.2
2017/5/6,26.5,16.6,21.3
2017/5/7,22.4,15.9,19.6
2017/5/8,26.5,14.7,20.5
2017/5/9,21.1,17.2,19.0
2017/5/10,17.6,15.4,16.6
2017/5/11,26.6,15.6,20.8
2017/5/12,25.9,18.0,20.8
2017/5/13,19.8,16.6,18.2
2017/5/14,20.3,15.6,18.1
2017/5/15,21.5,15.3,17.8
