ダウンロードした時刻：2026/08/05 10:59:01

,羽田,羽田,羽田
年月日,最高気温(℃),最低気温(℃),平均気温(℃)
,,,
2025/1/1,12.2,5.3,8.5
2025/1/2,12.2,3.4,8.5
2025/1/3,8.7,5.0,6.5
2025/1/4,8.5,3.4,5.9
2025/1/5,9.7,1.8,6.3
2025/1/6,9.2,3.9,6.2
2025/1/7,13.1,5.0,9.3
2025/1/8,12.2,4.3,7.7
2025/1/9,13.6,3.4,7.7
2025/1/10,9.4,1.3,5.2
2025/1/11,11.0,0.8,6.7
2025/1/12,8.5,4.0,6.4
2025/1/13,13.6,2.6,7.9
2025/1/14,11.1,1.8,7.7
2025/1/15,15.2,3.4,9.0
2025/1/16,7.5,3.5,5.4
2025/1/17,9.9,1.8,5.9
2025/1/18,8.0,3.5,5.7
2025/1/19,8.8,2.1,6.4
2025/1/20,11.9,6.2,9.3
2025/1/21,11.6,8.1,9.8
2025/1/22,12.7,5.9,9.0
2025/1/23,11.5,6.0,9.0
2025/1/24,12.6,5.6,9.4
2025/1/25,8.9,6.0,7.5
2025/1/26,12.2,5.0,8.1
2025/1/27,10.7,4.4,7.3
2025/1/28,15.3,5.5,9.4
2025/1/29,11.9,4.8,7.9
2025/1/30,10.8,2.9,7.4
2025/1/31,11.4,3.7,7.9
2025/2/1,10.1,4.8,7.8
2025/2/2,9.2,4.2,5.9
2025/2/3,9.3,5.3,7.2
2025/2/4,10.9,2.2,6.7
2025/2/5,9.6,1.0,4.6
2025/2/6,9.4,0.4,4.8
2025/2/7,9.9,1.7,5.8
2025/2/8,9.8,1.1,5.1
2025/2/9,10.9,1.2,5.9
2025/2/10,9.3,0.6,6.1
2025/2/11,9.9,1.4,5.9
2025/2/12,13.8,2.8,8.2
2025/2/13,13.6,4.4,8.6
2025/2/14,13.4,4.0,8.5
2025/2/15,13.6,6.6,10.0
2025/2/16,14.0,8.5,11.0
2025/2/17,14.1,4.6,9.7
2025/2/18,8.7,2.9,5.4
2025/2/19,8.0,1.7,4.7
2025/2/20,9.4,0.4,5.2
2025/2/21,9.6,2.5,6.0
2025/2/22,8.7,2.0,5.0
2025/2/23,9.6,0.6,5.8
2025/2/24,9.8,1.8,5.3
2025/2/25,11.7,1.6,7.6
2025/2/26,17.0,5.5,11.0
2025/2/27,14.6,6.0,10.5
2025/2/28,13.4,5.8,10.4
2025/3/1,19.3,7.8,13.0
2025/3/2,19.2,9.3,13.3
2025/3/3,14.2,2.9,6.9
2025/3/4,5.5,0.8,3.4
2025/3/5,10.0,1.8,6.4
2025/3/6,11.7,7.4,9.9
2025/3/7,11.1,4.3,7.5
2025/3/8,6.5,2.2,4.1
2025/3/9,12.2,2.9,7.5
2025/3/10,12.4,5.8,9.0
2025/3/11,13.4,7.4,10.5
2025/3/12,15.1,9.7,11.9
2025/3/13,17.0,10.1,14.2
2025/3/14,17.6,10.0,12.7
2025/3/15,11.2,7.9,9.3
2025/3/16,8.5,5.6,7.1
2025/3/17,16.0,7.7,10.6
2025/3/18,12.4,5.5,8.7
2025/3/19,11.3,1.3,6.6
2025/3/20,12.2,5.8,8.7
2025/3/21,17.5,5.2,11.8
2025/3/22,22.6,8.3,16.4
2025/3/23,22.9,12.9,17.2
2025/3/24,18.5,11.5,14.5
2025/3/25,22.5,10.7,17.5
2025/3/26,26.2,14.1,19.1
2025/3/27,21.3,13.1,17.0
2025/3/28,23.4,13.5,18.6
2025/3/29,13.6,5.3,8.3
2025/3/30,13.1,6.1,9.3
2025/3/31,8.7,6.7,7.6
2025/4/1,7.3,4.9,6.2
2025/4/2,15.2,6.5,10.2
2025/4/3,10.3,8.2,9.1
2025/4/4,16.2,6.2,11.3
2025/4/5,16.5,7.7,11.8
2025/4/6,19.2,12.0,15.5
2025/4/7,17.4,10.9,14.0
2025/4/8,20.1,9.4,15.3
2025/4/9,20.9,12.6,16.0
2025/4/10,21.7,11.8,16.5
2025/4/11,19.7,13.5,16.2
2025/4/12,17.5,12.6,15.0
2025/4/13,14.7,12.1,13.5
2025/4/14,21.9,14.0,17.3
2025/4/15,21.2,11.3,16.6
2025/4/16,20.3,8.5,15.0
2025/4/17,23.3,11.1,17.9
2025/4/18,23.9,14.9,19.6
2025/4/19,26.3,15.9,20.3
2025/4/20,22.4,17.3,20.2
2025/4/21,20.9,12.8,17.3
2025/4/22,22.5,12.5,18.2
2025/4/23,19.6,15.7,17.8
2025/4/24,23.4,16.9,18.6
2025/4/25,21.7,16.8,18.8
2025/4/26,17.4,11.9,15.2
2025/4/27,22.0,11.5,18.0
2025/4/28,22.5,13.5,18.3
2025/4/29,21.2,13.5,17.2
2025/4/30,23.1,11.2,17.6
2025/5/1,23.2,14.2,18.3
2025/5/2,18.4,14.8,16.6
2025/5/3,22.8,14.0,18.2
2025/5/4,25.4,15.5,19.1
2025/5/5,22.8,14.6,18.3
2025/5/6,18.5,13.7,15.6
2025/5/7,23.2,13.5,18.5
2025/5/8,21.1,15.8,17.8
2025/5/9,23.1,15.2,18.6
2025/5/10,23.0,16.2,20.1
2025/5/11,25.0,17.0,21.1
2025/5/12,19.6,16.5,17.7
2025/5/13,24.4,16.1,19.5
2025/5/14,25.5,17.5,20.9
2025/5/15,25.4,17.5,20.9
